Chromosome,UniqueID,Gene Symbol,Sum of Exon Length of Gene,CD33Low_A,CD33Low_B,EpiDC_A,EpiDC_B,EpiDC_C,LCs_A,LCs_B,LCs_C,cDC2_A,cDC2_B,cDC2Lang_A,cDC2_C,cDC2Lang_B,cDC2Lang_C,cDC1_A,cDC1_B2,cDC1_C,MDDC_A,MDDC_B,MDDC_C,MDM_A,MDM_B,MDM_C,Mf_A,Mf_B,Mf_C
chrX,ASMTL-AS1_24064,ASMTL-AS1,3017,172.0,151.0,103.0,78.0,61.0,152.0,288.0,350.0,104.0,182.0,114.0,146.0,118.0,290.0,51.0,117.0,226.0,108.0,188.0,291.0,114.0,217.0,202.0,280.0,256.0,237.0
chrY,ASMTL-AS1_25091,ASMTL-AS1,3017,171.0,151.0,103.0,77.0,61.0,153.0,287.0,351.0,107.0,182.0,114.0,148.0,118.0,290.0,50.0,117.0,226.0,108.0,186.0,291.0,114.0,217.0,202.0,279.0,257.0,237.0
chr10,BMS1P2_96,BMS1P2,4696,29.0,0.0,16.0,20.0,44.0,15.0,112.0,138.0,14.0,18.0,7.0,13.0,40.0,10.0,0.0,0.0,15.0,4.0,374.0,5.0,241.0,55.0,44.0,70.0,86.0,121.0
chr10,BMS1P2_97,BMS1P2,4696,30.0,0.0,16.0,19.0,0.0,11.0,109.0,132.0,3.0,16.0,0.0,11.0,34.0,11.0,0.0,0.0,14.0,0.0,364.0,6.0,241.0,54.0,44.0,76.0,80.0,113.0
chr10,BMS1P6_100,BMS1P6,4696,29.0,0.0,16.0,20.0,44.0,15.0,112.0,138.0,14.0,18.0,7.0,13.0,40.0,11.0,0.0,0.0,15.0,4.0,374.0,5.0,241.0,55.0,44.0,70.0,86.0,121.0
chr10,BMS1P6_101,BMS1P6,4696,30.0,0.0,16.0,19.0,0.0,11.0,109.0,132.0,3.0,16.0,0.0,10.0,33.0,10.0,0.0,0.0,14.0,0.0,364.0,6.0,241.0,54.0,44.0,76.0,80.0,113.0
chr9,CBWD3_23143,CBWD3,3452,3564.0,0.0,234.0,3513.0,2078.0,4390.0,8407.0,10247.0,3825.0,6075.0,3072.0,10246.0,4799.0,16776.0,8.0,4450.0,7301.0,2216.0,3556.0,4482.0,2246.0,3659.0,3935.0,1510.0,2202.0,1622.0
chr9,CBWD3_23144,CBWD3,3452,3564.0,0.0,234.0,3513.0,2078.0,4390.0,8407.0,10247.0,3825.0,6075.0,3072.0,10246.0,4799.0,16776.0,8.0,4450.0,7301.0,2216.0,3556.0,4482.0,2246.0,3659.0,3935.0,1510.0,2202.0,1622.0
chrX,CD99_24106,CD99,1237,1114.0,577.0,658.0,3789.0,6374.0,1952.0,6868.0,8692.0,3133.0,6105.0,2415.0,6720.0,3454.0,7338.0,2021.0,1704.0,9836.0,3477.0,6444.0,7066.0,5743.0,9054.0,9796.0,5654.0,12148.0,12358.0
chrY,CD99_25101,CD99,1237,1114.0,577.0,658.0,3789.0,6374.0,1952.0,6868.0,8692.0,3130.0,6105.0,2414.0,6720.0,3454.0,7337.0,2021.0,1704.0,9836.0,3477.0,6444.0,7066.0,5743.0,9054.0,9796.0,5654.0,12148.0,12358.0
chrX,CD99P1_24108,CD99P1,3316,2.0,0.0,0.0,49.0,0.0,50.0,105.0,105.0,119.0,109.0,0.0,3.0,185.0,196.0,0.0,114.0,138.0,145.0,131.0,49.0,146.0,173.0,0.0,143.0,423.0,110.0
chrY,CD99P1_25102,CD99P1,3316,2.0,0.0,0.0,49.0,0.0,50.0,105.0,105.0,119.0,109.0,0.0,3.0,185.0,196.0,0.0,114.0,138.0,145.0,131.0,49.0,146.0,173.0,0.0,143.0,423.0,110.0
chrX,CENPVP1_24114,CENPVP1,1302,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,CENPVP1_24115,CENPVP1,1302,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,CENPVP2_24116,CENPVP2,1302,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,CENPVP2_24117,CENPVP2,1302,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,CRLF2_24137,CRLF2,777,107.0,0.0,0.0,24.0,62.0,130.0,143.0,601.0,48.0,98.0,0.0,1140.0,238.0,2363.0,0.0,0.0,1567.0,2.0,186.0,736.0,66.0,49.0,434.0,1.0,3.0,81.0
chrY,CRLF2_25111,CRLF2,777,107.0,0.0,0.0,24.0,62.0,130.0,143.0,601.0,48.0,98.0,0.0,1140.0,238.0,2363.0,0.0,0.0,1567.0,2.0,186.0,736.0,66.0,49.0,434.0,1.0,3.0,81.0
chrX,CSF2RA_24144,CSF2RA,2298,1458.0,768.0,446.0,6858.0,1925.0,2551.0,6972.0,6382.0,2421.0,7580.0,2360.0,13533.0,6117.0,22136.0,116.0,3702.0,13038.0,3903.0,6673.0,6597.0,1663.0,3929.0,2576.0,877.0,2623.0,1633.0
chrY,CSF2RA_25112,CSF2RA,2298,1458.0,768.0,446.0,6858.0,1926.0,2551.0,6971.0,6382.0,2420.0,7581.0,2360.0,13534.0,6118.0,22136.0,116.0,3703.0,13038.0,3903.0,6677.0,6597.0,1664.0,3930.0,2577.0,877.0,2624.0,1632.0
chrY,CSPG4P1Y_25113,CSPG4P1Y,795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrY,CSPG4P1Y_25114,CSPG4P1Y,795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,CT45A4_24149,CT45A4,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,0.0,0.0
chrX,CT45A4_24150,CT45A4,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,0.0,0.0
chrX,CTAG1A_24166,CTAG1A,748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,CTAG1A_24167,CTAG1A,748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,CTAG1B_24168,CTAG1B,1496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,CTAG1B_24169,CTAG1B,1496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr7,CTAGE4_21231,CTAGE4,2626,156.0,0.0,3.0,12.0,0.0,331.0,379.0,531.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,123.0,18.0
chr7,CTAGE4_21232,CTAGE4,2626,166.0,0.0,3.0,12.0,0.0,332.0,386.0,520.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,19.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,121.0,18.0
chrX,CXorf49_24187,CXorf49,1851,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
chrX,CXorf49_24188,CXorf49,1851,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
chrX,CXorf49B_24189,CXorf49B,1851,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
chrX,CXorf49B_24190,CXorf49B,1851,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
chr8,DEFB103A_22322,DEFB103A,437,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr8,DEFB103A_22323,DEFB103A,437,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr8,DEFB103B_22324,DEFB103B,324,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr8,DEFB103B_22325,DEFB103B,324,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr8,DEFB104A_22326,DEFB104A,281,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr8,DEFB104A_22327,DEFB104A,281,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr8,DEFB104B_22328,DEFB104B,281,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr8,DEFB104B_22329,DEFB104B,281,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,DHRSX_24216,DHRSX,2569,307.0,0.0,11.0,501.0,456.0,10.0,418.0,184.0,187.0,663.0,19.0,290.0,453.0,499.0,0.0,34.0,571.0,13.0,441.0,253.0,167.0,626.0,542.0,163.0,1234.0,409.0
chrY,DHRSX_25122,DHRSX,2569,307.0,0.0,11.0,501.0,456.0,10.0,418.0,184.0,187.0,663.0,19.0,290.0,453.0,499.0,0.0,34.0,571.0,13.0,441.0,253.0,167.0,626.0,542.0,163.0,1234.0,409.0
chrX,DMRTC1_24222,DMRTC1,1100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,DMRTC1_24223,DMRTC1,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,DMRTC1B_24224,DMRTC1B,1100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chrX,DMRTC1B_24225,DMRTC1B,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10,DUX2_243,DUX2,4326,5.0,3.0,4.0,3.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,21.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,15.0,3.0
chr4,DUX2_16878,DUX2,9240,366.0,6.0,183.0,198.0,0.0,365.0,0.0,5.0,0.0,0.0,12.0,0.0,42.0,41.0,11.0,60.0,131.0,0.0,0.0,0.0,0.0,12.0,204.0,54.0,30.0,6.0
chr10,DUX4_244,DUX4,2913,120.0,2.0,54.0,72.0,0.0,121.0,0.0,2.0,0.0,0.0,4.0,0.0,14.0,14.0,4.0,14.0,42.0,0.0,0.0,0.0,0.0,4.0,62.0,20.0,10.0,2.0
chr4,DUX4_16879,DUX4,3234,124.0,2.0,62.0,66.0,0.0,122.0,0.0,2.0,0.0,0.0,4.0,0.0,14.0,14.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,4.0,68.0,18.0,10.0,2.0
chr10,DUX4L2_245,DUX4L2,4231,178.0,3.0,79.0,107.0,0.0,182.0,0.0,2.0,0.0,0.0,6.0,0.0,21.0,20.0,6.0,21.0,62.0,0.0,0.0,0.0,0.0,6.0,97.0,30.0,15.0,3.0
chr4,DUX4L2_16880,DUX4L2,8055,310.0,5.0,155.0,165.0,0.0,305.0,0.0,5.0,0.0,0.0,10.0,0.0,35.0,35.0,10.0,50.0,110.0,0.0,0.0,0.0,0.0,10.0,170.0,45.0,25.0,5.0
chr10,DUX4L3_246,DUX4L3,4225,178.0,3.0,79.0,107.0,0.0,182.0,0.0,3.0,0.0,0.0,6.0,0.0,21.0,21.0,6.0,21.0,62.0,0.0,0.0,0.0,0.0,6.0,97.0,30.0,15.0,3.0
chr4,DUX4L3_16881,DUX4L3,9666,371.0,6.0,186.0,198.0,0.0,367.0,0.0,6.0,0.0,0.0,12.0,0.0,42.0,42.0,12.0,58.0,133.0,0.0,0.0,0.0,0.0,12.0,200.0,54.0,30.0,6.0
chr10,DUX4L5_247,DUX4L5,4225,5.0,0.0,4.0,3.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
chr4,DUX4L5_16883,DUX4L5,9666,371.0,6.0,186.0,198.0,0.0,367.0,0.0,6.0,0.0,0.0,12.0,0.0,42.0,42.0,12.0,58.0,133.0,0.0,0.0,0.0,0.0,12.0,200.0,54.0,30.0,6.0
chr10,DUX4L6_248,DUX4L6,4225,63.0,1.0,29.0,38.0,0.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,6.0,1.0,8.0,21.0,0.0,0.0,0.0,0.0,1.0,37.0,12.0,4.0,0.0
chr4,DUX4L6_16884,DUX4L6,9666,371.0,6.0,186.0,198.0,0.0,367.0,0.0,6.0,0.0,0.0,12.0,0.0,42.0,42.0,12.0,58.0,133.0,0.0,0.0,0.0,0.0,12.0,200.0,54.0,30.0,6.0
chr16,EIF3C_5910,EIF3C,3455,1199.0,4763.0,1423.0,4974.0,2793.0,6213.0,9571.0,11833.0,4531.0,3676.0,8347.0,10198.0,5013.0,11745.0,8706.0,2355.0,13886.0,5552.0,5311.0,2454.0,2927.0,5085.0,2333.0,3384.0,5821.0,5550.0
chr16,EIF3C_5911,EIF3C,3458,0.0,4745.0,0.0,19.0,0.0,23.0,26.0,36.0,13.0,24.0,76.0,47.0,13.0,10.0,0.0,0.0,26.0,6.0,11.0,45.0,118.0,49.0,0.0,34.0,32.0,20.0
chr16,EIF3CL_5912,EIF3CL,3050,1195.0,4763.0,1419.0,4935.0,2793.0,6172.0,9520.0,11782.0,4512.0,3644.0,8261.0,10127.0,4981.0,11717.0,8696.0,2345.0,13819.0,5540.0,5295.0,2410.0,2801.0,5017.0,2303.0,3344.0,5765.0,5525.0
chr16,EIF3CL_5913,EIF3CL,3053,1196.0,4745.0,1423.0,4911.0,2791.0,6124.0,9425.0,11708.0,4479.0,3615.0,8181.0,10030.0,4956.0,11614.0,8599.0,2350.0,13690.0,5495.0,5251.0,2389.0,2789.0,4986.0,2301.0,3335.0,5739.0,5494.0
chrX,F8A1_24248,F8A1,3404,0.0,0.0,0.0,102.0,60.0,115.0,10.0,68.0,25.0,127.0,132.0,43.0,361.0,446.0,0.0,0.0,71.0,41.0,365.0,174.0,28.0,442.0,201.0,336.0,558.0,395.0
chrX,F8A1_24249,F8A1,1702,0.0,0.0,0.0,103.0,59.0,115.0,11.0,70.0,26.0,128.0,133.0,44.0,364.0,447.0,0.0,0.0,72.0,43.0,365.0,174.0,29.0,443.0,203.0,337.0,560.0,396.0
chrX,F8A2_24250,F8A2,2232,0.0,0.0,0.0,59.0,0.0,102.0,15.0,64.0,30.0,98.0,26.0,33.0,323.0,521.0,0.0,0.0,68.0,48.0,296.0,122.0,38.0,380.0,189.0,179.0,367.0,304.0
chrX,F8A2_24251,F8A2,1116,0.0,0.0,0.0,29.0,0.0,44.0,7.0,30.0,12.0,46.0,14.0,14.0,140.0,239.0,0.0,0.0,28.0,22.0,125.0,50.0,16.0,157.0,86.0,79.0,166.0,121.0
chrX,F8A3_24252,F8A3,2232,0.0,0.0,0.0,59.0,0.0,102.0,15.0,64.0,30.0,98.0,26.0,33.0,323.0,521.0,0.0,0.0,68.0,48.0,296.0,122.0,38.0,380.0,189.0,179.0,367.0,304.0
chrX,F8A3_24253,F8A3,1116,0.0,0.0,0.0,29.0,0.0,44.0,7.0,30.0,12.0,46.0,14.0,14.0,140.0,239.0,0.0,0.0,28.0,22.0,125.0,50.0,16.0,157.0,86.0,79.0,166.0,121.0
chr19,FAM138A_8696,FAM138A,1130,42.0,0.0,7.0,5.0,6.0,18.0,19.0,14.0,24.0,6.0,1.0,1.0,9.0,8.0,0.0,14.0,7.0,24.0,26.0,68.0,17.0,13.0,13.0,26.0,16.0,40.0
chr1,FAM138A_10585,FAM138A,1130,42.0,0.0,7.0,5.0,6.0,18.0,19.0,14.0,24.0,6.0,1.0,1.0,9.0,8.0,0.0,14.0,7.0,24.0,26.0,68.0,17.0,13.0,13.0,26.0,16.0,40.0
chr19,FAM138F_8697,FAM138F,1130,42.0,0.0,9.0,5.0,7.0,18.0,21.0,14.0,25.0,13.0,1.0,1.0,10.0,9.0,0.0,14.0,7.0,25.0,27.0,69.0,19.0,14.0,13.0,26.0,18.0,41.0
chr1,FAM138F_10586,FAM138F,1130,42.0,0.0,9.0,5.0,7.0,18.0,21.0,14.0,25.0,13.0,1.0,1.0,10.0,9.0,0.0,14.0,7.0,25.0,27.0,69.0,19.0,14.0,13.0,26.0,18.0,41.0
chrX,FAM156A_24265,FAM156A,4657,18.0,0.0,336.0,1718.0,2471.0,206.0,960.0,1168.0,328.0,2330.0,0.0,885.0,1992.0,1800.0,0.0,390.0,968.0,24.0,600.0,938.0,1322.0,2016.0,964.0,742.0,2716.0,1606.0
chrX,FAM156A_24266,FAM156A,4657,18.0,0.0,336.0,1718.0,2471.0,206.0,960.0,1168.0,328.0,2330.0,0.0,885.0,1992.0,1800.0,0.0,390.0,968.0,24.0,600.0,938.0,1322.0,2016.0,964.0,742.0,2716.0,1606.0
